STATION NAME,AGENCY,NO. OF PORTS,STREET,CITY,STATE,POSTCODE,BOROUGH
DOC_MOBI_1,DOC,1,Hazen St,Riker's Island,New York,10474,
DOH 56 DRIVE NISSAN,DOH,1,56th Dr.,Maspeth,New York,11378,QUEENS
DOH BEDFORD NISSAN 1,DOH,1,Throop Ave.,Brooklyn,New York,11221,BROOKLYN
DOH BEDFORD NISSAN 2,DOH,1,Throop Ave.,Brooklyn,New York,11221,BROOKLYN
DOH BELLEVUE NISSAN 1,DOH,1,1st Ave.,New York,New York,10016,MANHATTAN
DOH BELLEVUE NISSAN 2,DOH,1,1st Ave.,New York,New York,10016,MANHATTAN
DOT LOT 190 ST 1,DOT,1,Jerome Ave,Bronx,New York,10468,BRONX
DOT LOT 190 ST 2,DOT,1,Jerome Ave,Bronx,New York,10468,BRONX
DOT LOT 190 ST 3,DOT,1,Jerome Ave,Bronx,New York,10468,BRONX
DOT LOT 190 ST 4,DOT,1,Jerome Ave,Bronx,New York,10468,BRONX
DOT LOT 190 ST 5,DOT,1,Jerome Ave,Bronx,New York,10468,BRONX
DOT LOT 3510 JEROME AVE 1,DOT,1,Jerome Ave,Bronx,New York,10467,BRONX
DOT LOT 3510 JEROME AVE 2,DOT,1,Jerome Ave,Bronx,New York,10467,BRONX
DOT LOT 3510 JEROME AVE 3,DOT,1,Jerome Ave,Bronx,New York,10467,BRONX
DOT LOT BAY RIDGE 1,DOT,1,Fifth Avenue,Brooklyn,New York,11209,BROOKLYN
DOT LOT BAY RIDGE 2,DOT,1,Fifth Avenue,Brooklyn,New York,11209,BROOKLYN
DOT LOT BAY RIDGE 3,DOT,1,Fifth Avenue,Brooklyn,New York,11209,BROOKLYN
DOT LOT BAY RIDGE 4,DOT,1,Fifth Avenue,Brooklyn,New York,11209,BROOKLYN
DOT LOT BAY RIDGE 5,DOT,1,Fifth Avenue,Brooklyn,New York,11209,BROOKLYN
DOT LOT COURT SQ 1,DOT,1,Court Square,Queens,New York,11101,QUEENS
DOT LOT COURT SQ 2,DOT,1,Court Square,Queens,New York,11101,QUEENS
DOT LOT COURT SQ 3,DOT,1,Court Square,Queens,New York,11101,QUEENS
DOT LOT COURT SQ 4,DOT,1,Court Square,Queens,New York,11101,QUEENS
DOT LOT COURT SQ 5,DOT,1,Court Square,Queens,New York,11101,QUEENS
DOT LOT COURT SQ 6,DOT,1,Court Square,Queens,New York,11101,QUEENS
DOT LOT COURT SQ 7,DOT,1,Court Square,Queens,New York,11101,QUEENS
DOT LOT COURT SQ 8,DOT,1,Court Square,Queens,New York,11101,QUEENS
DOT LOT ESSEX ST 1,DOT,1,Essex Street,New York,New York,10002,MANHATTAN
DOT LOT ESSEX ST 2,DOT,1,Essex Street,New York,New York,10002,MANHATTAN
DOT LOT ESSEX ST 3,DOT,1,Essex Street,New York,New York,10002,MANHATTAN
DOT LOT ESSEX ST 4,DOT,1,Essex Street,New York,New York,10002,MANHATTAN
DOT LOT ESSEX ST 5,DOT,1,Essex Street,New York,New York,10002,MANHATTAN
DOT LOT QUEENS BORO HALL 1,DOT,1,126th Street,Queens,New York,11415,QUEENS
DOT LOT QUEENS BORO HALL 2,DOT,1,126th Street,Queens,New York,11415,QUEENS
DOT LOT QUEENS BORO HALL 3,DOT,1,126th Street,Queens,New York,11415,QUEENS
DOT LOT QUEENS BORO HALL 4,DOT,1,126th Street,Queens,New York,11415,QUEENS
DOT LOT QUEENS FAMILY COURT 1,DOT,1,Archer Avenue,Queens,New York,11432,QUEENS
DOT LOT QUEENS FAMILY COURT 2,DOT,1,Archer Avenue,Queens,New York,11432,QUEENS
DOT LOT QUEENS FAMILY COURT 3,DOT,1,Archer Avenue,Queens,New York,11432,QUEENS
DOT LOT ST GEORGE 1,DOT,1,Central Avenue,Staten Island,New York,10301,STATEN IS
DOT LOT ST GEORGE 2,DOT,1,Central Avenue,Staten Island,New York,10301,STATEN IS
DOT LOT ST GEORGE 3,DOT,1,Central Avenue,Staten Island,New York,10301,STATEN IS
DOT LOT ST GEORGE 4,DOT,1,Central Avenue,Staten Island,New York,10301,STATEN IS
DOT LOT ST GEORGE 5,DOT,1,Central Avenue,Staten Island,New York,10301,STATEN IS
